lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-CC110033	4564.0	7556.0	3643.0	1626.0	8020.0	12533.0	11236.0	2518.0	12730.0	8543.0	6870.0	4628.0	15411.0	2194.0	4602.0	4411.0	2287.0	5050.0	1472.0	12231.0	4133.0	14356.0	10273.0	3987.0	11214.0	26927.0	9855.0	16344.0	9658.0	921.0	6207.0	1149966.0	1540373.175362
sub-CC110045	3759.0	7002.0	4087.0	1889.0	11306.0	14340.0	11592.0	2733.0	13173.0	10304.0	6502.0	5047.0	17179.0	2237.0	4577.0	5061.0	2698.0	5380.0	1239.0	12702.0	4099.0	15156.0	9507.0	3743.0	12078.0	29030.0	10978.0	17914.0	10539.0	1332.0	5919.0	1158791.0	1554735.467975
sub-CC110056	2969.0	5964.0	4020.0	1556.0	9802.0	11226.0	13760.0	2449.0	10643.0	8346.0	7254.0	4110.0	13287.0	2153.0	4182.0	4125.0	2346.0	3696.0	1825.0	10861.0	3498.0	12239.0	9034.0	3315.0	10579.0	24930.0	10897.0	16876.0	10164.0	1493.0	6298.0	1063305.0	1450826.859877
sub-CC110062	4439.0	7926.0	5286.0	1751.0	11406.0	15100.0	16268.0	3309.0	16212.0	10363.0	7107.0	5456.0	18708.0	2529.0	5858.0	4587.0	2573.0	5212.0	2099.0	13195.0	4340.0	16726.0	13555.0	4268.0	13650.0	32192.0	13600.0	21643.0	14264.0	1242.0	7073.0	1321108.0	1741423.481045
sub-CC110069	3468.0	7757.0	3701.0	1684.0	8127.0	12147.0	11170.0	2536.0	11387.0	8807.0	5320.0	4201.0	13209.0	2508.0	4660.0	3660.0	1785.0	3853.0	1811.0	10312.0	2902.0	13700.0	9379.0	3810.0	9951.0	26486.0	10477.0	17909.0	9622.0	1325.0	5638.0	1118366.0	1544179.678597
sub-CC110087	3050.0	7322.0	3895.0	2116.0	9030.0	11537.0	11016.0	1948.0	12242.0	8733.0	6174.0	4376.0	13656.0	2792.0	4278.0	4215.0	2226.0	4704.0	1217.0	10639.0	3487.0	13679.0	8217.0	3590.0	10292.0	23715.0	7470.0	16758.0	9516.0	1063.0	5799.0	1051123.0	1326130.880285
sub-CC110098	3224.0	9191.0	4372.0	2035.0	8650.0	12582.0	12194.0	3167.0	13746.0	10007.0	7836.0	4823.0	15084.0	2476.0	5238.0	4808.0	2459.0	5006.0	2446.0	12175.0	3385.0	14434.0	12103.0	3848.0	12716.0	30185.0	13758.0	18621.0	12556.0	1457.0	6563.0	1223206.0	1663141.051818
sub-CC110101	2936.0	7653.0	4319.0	1737.0	9868.0	18068.0	11468.0	2631.0	15168.0	8363.0	8174.0	5137.0	14965.0	2195.0	5016.0	4665.0	1861.0	3871.0	2211.0	11581.0	3562.0	14401.0	10541.0	2802.0	13594.0	30588.0	11145.0	20089.0	13950.0	1335.0	6942.0	1225416.0	1750569.921786
sub-CC110126	3924.0	7339.0	3986.0	2135.0	8814.0	15502.0	14788.0	3065.0	13390.0	10038.0	6330.0	5194.0	12687.0	2154.0	5312.0	5046.0	2672.0	3726.0	1686.0	12766.0	3672.0	13527.0	13139.0	3998.0	11549.0	26900.0	14255.0	18542.0	11244.0	1579.0	6017.0	1221480.0	1597430.798316
sub-CC110174	2620.0	4800.0	3628.0	1424.0	5336.0	8131.0	8433.0	2364.0	9502.0	7191.0	4724.0	3758.0	10783.0	1805.0	4432.0	4538.0	1565.0	4596.0	1653.0	8547.0	2911.0	11146.0	8610.0	2310.0	8532.0	23046.0	9865.0	15683.0	11428.0	1450.0	4971.0	940150.0	1214696.505815
sub-CC110187	3008.0	7675.0	4625.0	1552.0	9452.0	14664.0	11182.0	2318.0	15553.0	9129.0	7503.0	4796.0	14198.0	2084.0	5416.0	4123.0	2411.0	4464.0	2151.0	10694.0	3923.0	13131.0	8199.0	3063.0	12960.0	26247.0	11448.0	15464.0	9136.0	1077.0	5673.0	1106484.0	1471822.295883
sub-CC110319	3853.0	8155.0	4720.0	1808.0	10585.0	15682.0	12940.0	2771.0	13536.0	10384.0	6579.0	5312.0	14540.0	2639.0	5033.0	4879.0	2246.0	4954.0	2091.0	11231.0	3724.0	15618.0	11415.0	4421.0	14890.0	27382.0	13833.0	17988.0	13695.0	1850.0	6300.0	1302700.0	1727101.789039
sub-CC110411	3979.0	9446.0	4767.0	2006.0	10553.0	17178.0	13753.0	3588.0	13445.0	10451.0	8215.0	5454.0	18554.0	2610.0	5375.0	6189.0	2669.0	6951.0	2215.0	14164.0	4617.0	16234.0	12071.0	4199.0	15763.0	32606.0	12978.0	20323.0	15475.0	1804.0	8147.0	1386172.0	1893343.628086
sub-CC110606	3738.0	7128.0	4217.0	1608.0	11767.0	13417.0	13058.0	2794.0	13855.0	9749.0	7282.0	5043.0	15938.0	2317.0	5508.0	5935.0	2537.0	6098.0	1572.0	13423.0	3982.0	17056.0	12866.0	4626.0	11321.0	30472.0	13533.0	20081.0	11430.0	1125.0	6141.0	1322925.0	1820583.864576
sub-CC112141	3282.0	8743.0	4379.0	1673.0	7473.0	14667.0	12218.0	2999.0	11902.0	8915.0	7412.0	4060.0	20448.0	2255.0	4826.0	6362.0	2135.0	5589.0	2371.0	10653.0	3446.0	13067.0	10436.0	4046.0	12282.0	25460.0	13167.0	18473.0	12160.0	1164.0	6345.0	1263921.0	1711744.268752
sub-CC120008	4155.0	11437.0	4293.0	1524.0	12047.0	16040.0	14892.0	3143.0	15533.0	9246.0	6843.0	4913.0	19979.0	2456.0	5982.0	5335.0	2490.0	4677.0	1622.0	14354.0	4330.0	19219.0	12154.0	5089.0	12310.0	28820.0	10838.0	21546.0	11639.0	1333.0	6922.0	1396487.0	1844187.998263
sub-CC120049	3977.0	8876.0	5074.0	1713.0	9713.0	14747.0	13112.0	3468.0	15223.0	10140.0	7776.0	5310.0	17538.0	2210.0	4665.0	5491.0	2540.0	5116.0	2366.0	13143.0	5227.0	17072.0	11487.0	4579.0	12794.0	29380.0	13775.0	19730.0	12696.0	1826.0	6859.0	1378020.0	1849842.343187
