lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC110033	1428.0	2545.0	2060.0	373.0	2652.0	4600.0	3470.0	1084.0	5493.0	2890.0	3590.0	1594.0	4513.0	675.0	1661.0	1567.0	734.0	1883.0	1402.0	4658.0	1552.0	4785.0	3682.0	1288.0	4130.0	8414.0	4006.0	4778.0	3183.0	352.0	1971.0	87012.4	1149966.0	1540373.175362
sub-CC110045	1272.0	2165.0	2011.0	479.0	3255.0	4635.0	3342.0	1040.0	4964.0	3148.0	2860.0	1694.0	4529.0	711.0	1522.0	1582.0	750.0	1686.0	1151.0	4511.0	1517.0	4689.0	3444.0	1178.0	3846.0	8554.0	3868.0	4833.0	3277.0	488.0	1895.0	84898.3	1158791.0	1554735.467975
sub-CC110056	1074.0	1967.0	1620.0	418.0	2971.0	3855.0	3779.0	974.0	4274.0	2853.0	3146.0	1431.0	3994.0	662.0	1426.0	1298.0	664.0	1364.0	1325.0	4136.0	1256.0	4024.0	3156.0	1076.0	3912.0	7588.0	3971.0	4710.0	3306.0	458.0	1946.0	78636.9	1063305.0	1450826.859877
sub-CC110062	1604.0	2386.0	2228.0	432.0	3624.0	4927.0	4309.0	1098.0	5811.0	3347.0	2933.0	1823.0	5382.0	766.0	1985.0	1413.0	826.0	1719.0	1436.0	5443.0	1526.0	5622.0	4639.0	1451.0	4440.0	9575.0	4930.0	6127.0	4537.0	556.0	2093.0	98984.9	1321108.0	1741423.481045
sub-CC110069	1222.0	2602.0	1901.0	441.0	2876.0	4422.0	3312.0	1001.0	4921.0	3024.0	2692.0	1502.0	4350.0	785.0	1665.0	1267.0	632.0	1350.0	1277.0	4361.0	1162.0	4681.0	3616.0	1311.0	3738.0	8866.0	4387.0	5317.0	3519.0	438.0	1873.0	84513.3	1118366.0	1544179.678597
sub-CC110087	950.0	2427.0	2088.0	519.0	3117.0	4143.0	3163.0	763.0	5383.0	3172.0	2945.0	1803.0	3877.0	796.0	1653.0	1321.0	652.0	1604.0	1134.0	4375.0	1352.0	4645.0	3020.0	1116.0	3732.0	7207.0	3173.0	4896.0	3206.0	427.0	1814.0	80471.5	1051123.0	1326130.880285
sub-CC110098	1186.0	3013.0	2210.0	465.0	2853.0	4658.0	3511.0	1160.0	5294.0	3346.0	3678.0	1688.0	4394.0	729.0	1861.0	1673.0	807.0	1913.0	1763.0	4964.0	1329.0	5032.0	4682.0	1340.0	4807.0	9352.0	5264.0	5538.0	4228.0	495.0	2062.0	95295.1	1223206.0	1663141.051818
sub-CC110101	1046.0	2764.0	2038.0	335.0	2972.0	6076.0	3435.0	979.0	5572.0	2543.0	3238.0	1620.0	4490.0	670.0	1720.0	1441.0	564.0	1242.0	1253.0	5066.0	1253.0	5218.0	3873.0	820.0	4174.0	8575.0	4214.0	6173.0	5101.0	534.0	2032.0	91034.5	1225416.0	1750569.921786
sub-CC110126	1174.0	2412.0	2004.0	490.0	2991.0	5409.0	4121.0	1114.0	5038.0	3337.0	2897.0	1817.0	4038.0	644.0	1874.0	1463.0	793.0	1267.0	1177.0	4970.0	1341.0	4681.0	4925.0	1332.0	3947.0	8622.0	5359.0	5285.0	3640.0	525.0	1859.0	90541.2	1221480.0	1597430.798316
sub-CC110174	855.0	1685.0	1761.0	258.0	2005.0	3024.0	2497.0	861.0	3953.0	2403.0	2463.0	1348.0	3104.0	581.0	1517.0	1402.0	528.0	1568.0	1303.0	3658.0	1051.0	3877.0	3272.0	747.0	3178.0	7315.0	4019.0	4694.0	3644.0	508.0	1593.0	70672.4	940150.0	1214696.505815
sub-CC110187	1037.0	2470.0	2116.0	379.0	3175.0	5047.0	3305.0	796.0	6125.0	3317.0	3575.0	1795.0	4145.0	705.0	1891.0	1301.0	777.0	1590.0	1599.0	4196.0	1383.0	4366.0	3000.0	1090.0	4294.0	8336.0	4439.0	4541.0	3159.0	358.0	1811.0	86119.1	1106484.0	1471822.295883
sub-CC110319	1307.0	2725.0	2171.0	436.0	3414.0	5127.0	3608.0	1033.0	5119.0	3473.0	3029.0	1942.0	4214.0	770.0	1831.0	1472.0	698.0	1816.0	1485.0	4721.0	1481.0	4943.0	4261.0	1431.0	5006.0	8576.0	5257.0	5348.0	4705.0	701.0	1985.0	94087.2	1302700.0	1727101.789039
sub-CC110411	1384.0	2860.0	1974.0	510.0	3054.0	5688.0	3888.0	1413.0	4774.0	3426.0	3441.0	1882.0	5153.0	708.0	1858.0	1816.0	790.0	2284.0	1498.0	5297.0	1716.0	4988.0	4124.0	1411.0	5076.0	9337.0	4711.0	5562.0	4852.0	586.0	2251.0	98311.2	1386172.0	1893343.628086
sub-CC110606	1286.0	2651.0	2258.0	421.0	3832.0	5005.0	3982.0	1069.0	5965.0	3234.0	3316.0	1781.0	5005.0	718.0	2125.0	2065.0	807.0	2245.0	1206.0	5892.0	1371.0	5942.0	5110.0	1569.0	4295.0	9983.0	5621.0	6028.0	4186.0	500.0	2014.0	101485.0	1322925.0	1820583.864576
sub-CC112141	1240.0	2824.0	2131.0	366.0	2602.0	5354.0	3728.0	1172.0	4979.0	2870.0	3349.0	1461.0	5765.0	767.0	1770.0	2101.0	763.0	1991.0	1544.0	4420.0	1414.0	4688.0	3956.0	1347.0	4434.0	8136.0	5096.0	5303.0	4104.0	412.0	2193.0	92281.0	1263921.0	1711744.268752
sub-CC120008	1466.0	4028.0	2081.0	411.0	3949.0	5954.0	4423.0	1333.0	6295.0	3327.0	3321.0	1810.0	5943.0	852.0	2163.0	1864.0	820.0	1770.0	1161.0	5362.0	1727.0	6888.0	4870.0	1650.0	4726.0	9842.0	4007.0	6792.0	3952.0	510.0	2232.0	105527.0	1396487.0	1844187.998263
sub-CC120049	1351.0	3294.0	2347.0	469.0	3155.0	5088.0	3668.0	1350.0	6229.0	3388.0	3563.0	1866.0	4994.0	693.0	1578.0	1786.0	800.0	1921.0	1440.0	5276.0	1848.0	5623.0	4425.0	1299.0	4494.0	9364.0	5419.0	6143.0	4204.0	615.0	2199.0	99887.1	1378020.0	1849842.343187
sub-CC120065	977.0	2043.0	1950.0	251.0	2774.0	4039.0	2630.0	1160.0	5290.0	2889.0	3239.0	1494.0	4007.0	589.0	1494.0	1085.0	732.0	1249.0	1557.0	4487.0	1401.0	4639.0	3867.0	1102.0	3171.0	7704.0	3995.0	5231.0	3681.0	503.0	2012.0	81241.8	1091748.0	1429176.653398
sub-CC120120	1146.0	1777.0	1900.0	321.0	2808.0	4222.0	2719.0	826.0	5063.0	2883.0	3294.0	1685.0	4045.0	594.0	1460.0	1337.0	805.0	1566.0	1188.0	4330.0	1304.0	4416.0	3100.0	1285.0	3659.0	6645.0	3991.0	5096.0	3718.0	433.0	1931.0	79545.9	1124279.0	1532748.765732
sub-CC120166	1227.0	3027.0	1973.0	439.0	3114.0	5156.0	3936.0	979.0	6007.0	3318.0	3348.0	1801.0	4706.0	793.0	1672.0	1425.0	734.0	1414.0	1165.0	5797.0	1429.0	5722.0	4305.0	1351.0	5036.0	9397.0	5786.0	5815.0	5012.0	603.0	2049.0	98536.2	1346760.0	1788267.02319
sub-CC120182	1339.0	3684.0	1997.0	407.0	4113.0	4899.0	4724.0	1424.0	5315.0	3811.0	4065.0	2109.0	5165.0	960.0	1713.0	1252.0	831.0	1605.0	1737.0	5537.0	1709.0	5805.0	4441.0	1547.0	4899.0	9345.0	6567.0	6550.0	4844.0	629.0	2275.0	105301.0	1432624.0	1852272.842843
sub-CC120208	1017.0	2421.0	1963.0	423.0	3378.0	5848.0	4598.0	1073.0	4931.0	3659.0	2172.0	1784.0	4696.0	782.0	1635.0	1631.0	891.0	1939.0	1002.0	4374.0	1611.0	4556.0	4012.0	1533.0	5644.0	10020.0	5024.0	5988.0	4662.0	602.0	2041.0	95911.8	1281661.0	1673288.314385
sub-CC120234	915.0	2499.0	2335.0	336.0	2466.0	4277.0	2855.0	1089.0	5623.0	2815.0	3164.0	1421.0	3514.0	648.0	1589.0	1609.0	705.0	1701.0	1436.0	3897.0	1464.0	4332.0	3828.0	1279.0	4380.0	7897.0	4011.0	4795.0	2925.0	434.0	1987.0	82227.7	1081490.0	1354159.353325
sub-CC120276	1021.0	2526.0	2054.0	364.0	2897.0	4037.0	3354.0	1097.0	4772.0	3093.0	3129.0	1927.0	3985.0	743.0	1736.0	1500.0	733.0	1525.0	1305.0	4322.0	1550.0	4286.0	4106.0	1023.0	4032.0	8147.0	3995.0	4777.0	3922.0	465.0	1900.0	84320.8	1155262.0	1491533.389031
sub-CC120309	931.0	2208.0	2610.0	307.0	2946.0	4340.0	2971.0	985.0	5578.0	2997.0	3207.0	1622.0	4039.0	592.0	1457.0	1564.0	874.0	1571.0	1502.0	4654.0	1063.0	4821.0	3651.0	1129.0	3564.0	8397.0	4907.0	5355.0	3467.0	547.0	2040.0	85896.1	1154235.0	1540812.949062
sub-CC120319	1230.0	2970.0	2019.0	307.0	2784.0	4305.0	2966.0	829.0	5171.0	3266.0	3499.0	1618.0	4177.0	665.0	1663.0	1409.0	770.0	1733.0	1455.0	4381.0	1065.0	4885.0	3528.0	1148.0	4198.0	8645.0	4487.0	4938.0	3732.0	449.0	1919.0	86211.4	1172250.0	1518194.392386
sub-CC120347	1055.0	2052.0	1818.0	510.0	3059.0	3799.0	3261.0	898.0	4839.0	2732.0	2633.0	1471.0	3769.0	721.0	1468.0	1446.0	868.0	1790.0	1043.0	4356.0	1277.0	4314.0	3605.0	1213.0	4542.0	8056.0	4024.0	5145.0	3586.0	481.0	1753.0	81584.0	1120859.0	1455497.979591
sub-CC120469	1415.0	2972.0	1873.0	486.0	2485.0	5824.0	3870.0	709.0	4750.0	3229.0	2873.0	1701.0	5424.0	746.0	1710.0	1445.0	851.0	1332.0	932.0	5313.0	1495.0	5518.0	2743.0	1518.0	4509.0	9627.0	4466.0	5672.0	4399.0	501.0	2138.0	92524.8	1228223.0	1627353.894874
